year,month,symbol,sectorL2,cap,averageLiquidity21,averageLiquidity63,averageLiquidity252,grossProfitQoQ,roe,eps,pe,pb
2024,10,MBS,Financial Services,17450893086000.0,3383488.7619,3518102.746,4279816.246,0.0818,0.1439,1679.4,18.99,3.23
2024,10,BVH,Insurance,31808530437400.0,416969.619,617612.8571,531497.5754,0.1767,0.0829,2432.73,17.61,1.43
2024,10,HCM,Financial Services,21787905978300.0,11194495.9524,8479671.4286,7715544.0556,0.1301,0.1102,1729.77,17.89,2.04
2024,10,LPB,Banks,81715844491200.0,2160107.9048,3452101.127,4317904.5635,0.0532,0.2465,3480.62,9.18,2.13
2024,10,HDB,Banks,82133927202000.0,6816825.5714,7573191.2857,7430204.2778,0.0568,0.262,4158.38,6.78,1.62
2024,10,BID,Banks,283311664230000.0,2043227.7619,2436780.2063,1735652.8294,0.1012,0.188,4005.97,12.41,2.18
2024,10,GMD,Industrial Goods & Services,24217982646000.0,703192.9048,910300.7619,1296590.4603,0.1579,0.1414,4109.56,18.98,2.55
2024,10,TCB,Banks,170489523252400.0,14702101.1905,13794426.873,8949910.5833,0.1189,0.1621,3047.89,7.94,1.24
2024,10,ACB,Banks,115016441234000.0,8792379.7619,7977241.0,8672282.2222,0.07,0.2285,3675.65,7.01,1.54
2024,10,HSG,Basic Resources,13120423181700.0,10130013.1905,11280571.0476,11689322.1111,0.1955,0.1036,1844.27,11.55,1.18
2024,10,GEX,Industrial Goods & Services,18692597997750.0,4564028.3333,7114247.4444,14755006.9722,0.2469,0.0841,1243.98,17.48,1.41
2024,10,FOX,Telecommunications,43598388724772.0,50420.8095,101298.8254,126834.2778,0.0689,0.2955,5213.87,16.98,4.76
2024,10,SAB,Food & Beverage,74132105101600.0,722360.5714,793175.3968,903431.3056,0.162,0.1721,3303.24,17.5,3.11
2024,10,VCS,Construction & Materials,10352000000000.0,113435.9524,190800.1111,189828.5079,0.1652,0.1748,5548.78,11.66,2.04
2024,10,HPG,Basic Resources,168541192770000.0,20875862.0952,19957686.0159,22906461.3968,0.2632,0.1072,1745.93,15.09,1.55
2024,10,VHC,Food & Beverage,16227963395700.0,402659.5238,488733.3968,820802.7341,0.7606,0.0879,3253.4,22.22,1.94
2024,11,OCB,Banks,28233285790400.0,5791492.9524,3200990.4286,2723219.2778,0.0593,0.1026,1243.3,9.21,0.93
2024,11,GEX,Industrial Goods & Services,17532367777200.0,5343329.9524,5653739.2381,13731748.2579,0.1099,0.0805,1216.79,16.77,1.31
2024,11,ACV,Industrial Goods & Services,250046704029396.03,212644.4762,188720.6825,285880.8889,0.0528,0.163,4611.68,24.91,4.38
2024,11,VHM,Real Estate,180706250752000.0,16553689.9524,13628934.2381,9171338.5714,0.1223,0.1086,4700.45,8.83,0.9
2024,11,LPB,Banks,84273460907200.0,2655195.9048,2535092.7778,4271851.7103,0.0627,0.2589,3837.65,8.59,2.07
2024,11,VHC,Food & Beverage,16003510236700.0,510109.4286,473207.7778,785665.5119,0.2344,0.1023,3820.21,18.66,1.84
2024,11,GMD,Industrial Goods & Services,27033064367700.0,1006472.8095,848860.1429,1242227.5317,0.1387,0.1478,4307.63,15.16,2.98
2024,11,VCG,Construction & Materials,10625033879500.0,3001769.8571,3598045.8571,5502667.4365,0.2303,0.1027,1314.78,13.5,1.36
2024,11,PVS,Oil & Gas,18067125762000.0,2624748.9524,2612527.5556,4762511.7341,0.3887,0.0701,1919.37,19.69,1.37
2024,11,VIX,Financial Services,15970719244350.0,19841628.2857,21742241.6984,25423506.0992,0.8933,0.0693,814.2,13.45,1.0
2024,11,VIC,Real Estate,158873137859550.0,2089459.2857,2614367.7937,3022437.9405,0.8691,0.074,2464.08,16.86,1.18
2024,11,BMP,Construction & Materials,11010296161000.0,306650.6667,249584.9048,234452.8016,0.1986,0.3644,12419.46,10.83,3.74
